Principal Component 1:
    Feature: psqi_c1, Weight: 0.017980484968187063
    Feature: Bisexual, Weight: 0.016569981853969552
    Feature: subs_alc_02to05, Weight: 0.016489419420023226
    Feature: isi_7, Weight: 0.01636370624929862
    Feature: subs_tob_23to02, Weight: 0.01631084366456046
    Feature: subs_caff_23to02, Weight: 0.016184778394829933
    Feature: ddnsi_1, Weight: 0.016061840768042394
    Feature: brisc_total, Weight: 0.015980789413610908
    Feature: psqi_5i, Weight: 0.015656902689320747
    Feature: psqi_8, Weight: 0.015288635963722342
    Feature: subs_can_20to23, Weight: 0.015060223870494811
    Feature: we_tib, Weight: 0.01273559417475487
    Feature: psqi_5e, Weight: 0.01273559417475487
    Feature: subs_tob_05to08, Weight: 0.012363038042281662
    Feature: psqi_11b, Weight: 0.012317120358771071
    Feature: $25,000 - $50,000, Weight: 0.012252823288680458
    Feature: sds_9, Weight: 0.012242696608301946
    Feature: we_waso, Weight: 0.01204768668049387
    Feature: sds_19, Weight: 0.01159835528210489
    Feature: psqi_11c, Weight: 0.011295487353764897
    Feature: msf, Weight: 0.010884556029300387
    Feature: isi_5, Weight: 0.01087865774059084
    Feature: subs_can_02to05, Weight: 0.010806103081846614
    Feature: Alcohol A few times a week, Weight: 0.010443139356335746
    Feature: isi_total, Weight: 0.010393333509541436
    Feature: subs_caff_02to05, Weight: 0.009639138912626
    Feature: psqi_c3, Weight: 0.00963498534785884
    Feature: brisc_4, Weight: 0.009397310796449862
    Feature: Tobacco Occasional Smoker, Weight: 0.009338525455371156
    Feature: subs_can_17to20, Weight: 0.009264746347912522
    Feature: Tobacco Never Smoker, Weight: 0.008940462850386362
    Feature: socialjetlag, Weight: 0.008666137989607758
    Feature: isi_3, Weight: 0.00815070104631658
    Feature: we_ttb, Weight: 0.008137178817436187
    Feature: subs_tob_14to17, Weight: 0.008029225428075075
    Feature: ddnsi_4, Weight: 0.007576344226633365
    Feature: subs_tob_20to23, Weight: 0.007442312499726009
    Feature: Alcohol Once a week or less, Weight: 0.0070741391317467395
    Feature: wd_tst, Weight: 0.006926751964311215
    Feature: msw, Weight: 0.006852246754642849
    Feature: subs_can_14to17, Weight: 0.006663690563012165
    Feature: Caffeine A few times a week, Weight: 0.006617147435472012
    Feature: ddnsi_2, Weight: 0.006493199575734781
    Feature: sleep_decimal_time, Weight: 0.00626957430612222
    Feature: Cannabis Once a week or less, Weight: 0.006172926505524612
    Feature: psqi_5a, Weight: 0.0060805226005914426
    Feature: Tobacco Former Smoker, Weight: 0.00591595026347585
    Feature: Cannabis Once a month or less, Weight: 0.00539676468724775
    Feature: we_tfa, Weight: 0.005383682424537139
    Feature: subs_alc_17to20, Weight: 0.005362358154349525
    Feature: Caffeine Never, Weight: 0.005323670392255537
    Feature: sds_4, Weight: 0.0052556548604244255
    Feature: brisc_2, Weight: 0.005092091078995811
    Feature: Cannabis A few times a week, Weight: 0.005037421038105804
    Feature: Islander, Weight: 0.004986953831670027
    Feature: we_ema, Weight: 0.0049471097313785375
    Feature: subs_can_08to11, Weight: 0.004863000945989418
    Feature: psqi_11e, Weight: 0.004664475035622923
    Feature: ddnsi_5, Weight: 0.004588119199346001
    Feature: Caffeine Daily, Weight: 0.004561941478796846
    Feature: subs_can_11to14, Weight: 0.004231887554668448
    Feature: sds_12, Weight: 0.004218612354885439
    Feature: subs_tob_17to20, Weight: 0.004149398702999651
    Feature: Tobacco Daily Smoker, Weight: 0.004119315076130914
    Feature: sds_13, Weight: 0.003541785435082791
    Feature: subs_caff_05to08, Weight: 0.003431426571750764
    Feature: psqi_5f, Weight: 0.003321322710736498
    Feature: sds_2, Weight: 0.00319846852496872
    Feature: sds_14, Weight: 0.0031884932475903416
    Feature: sds_16, Weight: 0.0031566715383455936
    Feature: Alcohol Multiple times daily, Weight: 0.0029497769673314843
    Feature: Cannabis Multiple times daily, Weight: 0.0027069103415008995
    Feature: Caffeine Once a month or less, Weight: 0.0026770095620588827
    Feature: sds_21, Weight: 0.0021176168624943274
    Feature: Cannabis Daily, Weight: 0.0019673145474126985
    Feature: sds_3, Weight: 0.0019124190196014865
    Feature: subs_alc_14to17, Weight: 0.0019072868749648827
    Feature: Alcohol Once a month or less, Weight: 0.0018460638886631843
    Feature: ddnsi_total, Weight: 0.0018201411938121742
    Feature: sds_24, Weight: 0.0016909851524536878
    Feature: subs_alc_05to08, Weight: 0.0015129472893920172
    Feature: sds_18, Weight: 0.0015083935637677489
    Feature: subs_tob_11to14, Weight: 0.0014995313491845154
    Feature: sds_15, Weight: 0.0014446241716236086
    Feature: sds_25, Weight: 0.0012779419598681072
    Feature: subs_tob_08to11, Weight: 0.001183841197525847
    Feature: Caffeine Multiple times daily, Weight: 0.0011557134990400236
    Feature: Caffeine Once a week or less, Weight: 0.0011484015952732002
    Feature: psqi_5h, Weight: 0.0010889623362690603
    Feature: subs_can_05to08, Weight: 0.001066461341753296
    Feature: ddnsi_3, Weight: 0.001044135973737956
    Feature: subs_alc_11to14, Weight: 0.000899562138965003
    Feature: we_nwak, Weight: 0.0008891675764743906
    Feature: sds_23, Weight: 0.0007656981789398873
    Feature: sds_20, Weight: 0.0007388797799244252
    Feature: subs_alc_08to11, Weight: 0.0006619238320954261
    Feature: sds_22, Weight: 0.0006130389036300163
    Feature: sds_17, Weight: 0.0005569459904466853
    Feature: sds_11, Weight: 0.0

Principal Component 3:
    Feature: sds_10, Weight: 0.23757143858685326
    Feature: sds_5, Weight: 0.2176172723973826
    Feature: isi_total, Weight: 0.21605372082574031
    Feature: sds_8, Weight: 0.21314418578371
    Feature: sds_6, Weight: 0.2116559411890784
    Feature: we_tob, Weight: 0.19510804052436967
    Feature: sds_9, Weight: 0.19301837214650028
    Feature: transgender, Weight: 0.18828899902765683
    Feature: psqi_5c, Weight: 0.18781318496250793
    Feature: psqi_5b, Weight: 0.18579903699770525
    Feature: wd_tfa, Weight: 0.17960398268363217
    Feature: left_handed, Weight: 0.17418192314579556
    Feature: wd_waso, Weight: 0.1727487791688135
    Feature: $50,000 - $100,000, Weight: 0.1654791684045534
    Feature: sds_7, Weight: 0.1552480691346401
    Feature: wd_nwak, Weight: 0.15221593193499858
    Feature: Islander, Weight: 0.1467832442155704
    Feature: isi_6, Weight: 0.139953213012728
    Feature: sds_1, Weight: 0.13125956480039747
    Feature: wd_tst, Weight: 0.12554236353510156
    Feature: other_orientation, Weight: 0.12256302693856033
    Feature: psqi_5a, Weight: 0.11677437274879866
    Feature: psqi_5d, Weight: 0.11127824187257584
    Feature: sds_2, Weight: 0.11073772813252085
    Feature: isi_5, Weight: 0.09948981430005077
    Feature: isi_2, Weight: 0.09755616024597977
    Feature: isi_7, Weight: 0.09707767427580975
    Feature: we_ttb, Weight: 0.09400313124930847
    Feature: isi_1, Weight: 0.09324993884166582
    Feature: psqi_5g, Weight: 0.09271298715407916
    Feature: psqi_c3, Weight: 0.09094251041501739
    Feature: $25,000 - $50,000, Weight: 0.090448064142003
    Feature: wd_tts, Weight: 0.08903945044529685
    Feature: wd_bts, Weight: 0.08751862986099862
    Feature: brisc_4, Weight: 0.08584636901047275
    Feature: msw, Weight: 0.08563094301899592
    Feature: Asian, Weight: 0.08506557092076973
    Feature: sds_3, Weight: 0.0832056575873308
    Feature: Black, Weight: 0.08216030277128195
    Feature: brisc_2, Weight: 0.08073962390186583
    Feature: brisc_total, Weight: 0.08013473539760163
    Feature: we_nwak, Weight: 0.07686021240444889
    Feature: brisc_3, Weight: 0.07615654871251486
    Feature: Heterosexual, Weight: 0.07495144894359505
    Feature: psqi_8, Weight: 0.07299309968017567
    Feature: we_ema, Weight: 0.07282180718004827
    Feature: wd_twt, Weight: 0.07184861206998452
    Feature: isi_4, Weight: 0.07151621626052347
    Feature: isi_3, Weight: 0.06932318130458391
    Feature: Bisexual, Weight: 0.06823869451886289
    Feature: sleep_decimal_time, Weight: 0.06800827086670373
    Feature: Homosexual, Weight: 0.06497394276151983
    Feature: psqi_2, Weight: 0.06333703650713045
    Feature: socialjetlag, Weight: 0.06322679676085595
    Feature: msf, Weight: 0.06227008451283533
    Feature: psqi_11a, Weight: 0.06216685594886282
    Feature: we_waso, Weight: 0.06148487807136342
    Feature: White, Weight: 0.05976291531519384
    Feature: income_notsay, Weight: 0.05856479483857057
    Feature: psqi_5f, Weight: 0.058522529425952506
    Feature: we_sol, Weight: 0.058244504979909364
